Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
10.0,90.6,150,0.029714285714285714,3,inf,0.73,ER
10.0,70.0,162,0.02141269841269841,2,inf,0.78,Demon
12.5,67.75,142,0.03214285714285714,4,inf,0.83,ER
12.5,63.75,145,0.02547619047619048,9,inf,0.83,Demon
12.5,69.75,149,0.010476190476190474,3,inf,0.01,ER
12.5,79.25,130,0.011952380952380952,10,inf,0.76,Demon
14.285714285714286,97.06122448979592,134,0.03,4,inf,0.68,ER
11.11111111111111,74.76543209876542,133,0.042523809523809526,9,inf,0.63,Demon
11.11111111111111,47.20987654320987,157,0.02338095238095238,11,inf,0.79,ER
11.11111111111111,94.76543209876542,146,0.02338095238095238,6,inf,0.74,Demon
12.5,45.75,146,0.01276190476190476,9,inf,0.85,ER
14.285714285714286,39.3469387755102,120,0.03233333333333333,15,inf,0.76,Demon
11.11111111111111,122.76543209876543,133,0.01069047619047619,4,inf,0.72,ER
9.090909090909092,93.17355371900825,153,0.044404761904761905,5,inf,0.88,Demon
14.285714285714286,83.91836734693878,140,0.026999999999999996,7,inf,0.82,ER
10.0,75.6,149,0.02608730158730159,4,inf,0.7,Demon
14.285714285714286,77.91836734693878,127,0.0,7,inf,0.71,ER
11.11111111111111,59.65432098765432,161,0.019976190476190477,3,inf,0.89,Demon
12.5,54.0,152,0.02580952380952382,4,inf,0.01,ER
14.285714285714286,79.06122448979592,143,0.017666666666666667,5,inf,0.86,Demon
9.090909090909092,88.44628099173553,152,0.025888888888888892,5,inf,0.77,ER
12.5,59.5,162,0.0329047619047619,3,inf,0.91,Demon
12.5,45.25,146,0.026142857142857145,9,inf,0.77,ER
12.5,60.5,142,0.02766666666666667,9,inf,0.71,Demon
14.285714285714286,53.3469387755102,144,0.007666666666666666,6,inf,0.83,ER
10.0,77.6,146,0.006,6,inf,0.79,Demon
10.0,73.2,161,0.035944444444444446,5,inf,0.81,ER
11.11111111111111,66.76543209876543,129,0.025190476190476194,13,inf,0.78,Demon
11.11111111111111,55.654320987654316,169,0.02069047619047619,4,inf,0.86,ER
14.285714285714286,105.06122448979592,116,0.0,9,inf,0.64,Demon
10.0,94.8,149,0.0,6,inf,0.85,ER
9.090909090909092,48.8099173553719,198,0.03870634920634921,4,inf,0.91,Demon
14.285714285714286,68.20408163265306,135,0.017666666666666667,7,inf,0.69,ER
12.5,83.75,132,0.0054761904761904765,6,inf,0.63,Demon
10.0,82.8,148,0.011476190476190475,7,inf,0.84,ER
8.333333333333334,69.22222222222221,151,0.018944444444444444,8,inf,0.78,Demon
14.285714285714286,31.63265306122449,131,0.025999999999999995,14,inf,0.69,ER
11.11111111111111,38.543209876543216,177,0.047547619047619054,4,inf,0.81,Demon
10.0,92.2,156,0.025190476190476187,5,inf,0.01,ER
12.5,72.5,156,0.02528571428571429,7,inf,0.84,Demon
11.11111111111111,63.65432098765432,147,0.020809523809523806,8,inf,0.82,ER
9.090909090909092,72.62809917355372,137,0.023555555555555552,9,inf,0.81,Demon
14.285714285714286,67.91836734693878,141,0.004333333333333333,6,inf,0.81,ER
11.11111111111111,85.4320987654321,140,0.0020238095238095236,6,inf,0.65,Demon
14.285714285714286,87.91836734693878,140,0.005,4,inf,0.6,ER
10.0,57.4,155,0.01523015873015873,8,inf,0.72,Demon
12.5,67.0,154,0.015095238095238097,4,inf,0.8,ER
11.11111111111111,56.98765432098766,166,0.00869047619047619,7,inf,0.78,Demon
10.0,82.0,164,0.01755555555555555,3,inf,0.85,ER
12.5,105.25,128,0.014142857142857145,8,inf,0.77,Demon
12.5,63.5,141,0.006999999999999999,8,inf,0.59,ER
11.11111111111111,50.543209876543216,165,0.024809523809523806,6,inf,0.85,Demon
10.0,74.6,136,0.020944444444444446,7,inf,0.9,ER
12.5,52.25,127,0.014285714285714285,11,inf,0.01,Demon
9.090909090909092,58.8099173553719,151,0.03512698412698413,8,inf,0.8,ER
10.0,78.8,167,0.032230158730158734,1,9.0,0.87,Demon
10.0,85.2,150,0.012,6,inf,0.85,ER
9.090909090909092,68.8099173553719,162,0.01888888888888889,6,inf,0.84,Demon
11.11111111111111,72.32098765432099,149,0.05685714285714284,6,inf,0.76,ER
10.0,95.4,162,0.033690476190476194,1,8.0,0.91,Demon
10.0,87.0,133,0.01808730158730159,6,inf,0.61,ER
10.0,88.6,157,0.027563492063492064,4,inf,0.89,Demon
10.0,52.2,172,0.026142857142857148,5,inf,0.89,ER
10.0,84.4,121,0.030222222222222227,16,inf,0.62,Demon
12.5,50.0,141,0.038952380952380954,10,inf,0.73,ER
11.11111111111111,88.98765432098764,140,0.004333333333333333,7,inf,0.82,Demon
12.5,63.5,137,0.010333333333333335,11,inf,0.77,ER
8.333333333333334,81.3888888888889,143,0.023015151515151516,9,inf,0.72,Demon
12.5,67.0,151,0.03242857142857143,7,inf,0.82,ER
10.0,76.6,165,0.005666666666666666,3,inf,0.88,Demon
11.11111111111111,64.09876543209877,155,0.014476190476190478,8,inf,0.88,ER
10.0,56.2,151,0.026619047619047622,7,inf,0.71,Demon
11.11111111111111,80.5432098765432,132,0.0,10,inf,0.7,ER
11.11111111111111,60.98765432098766,165,0.014380952380952383,5,inf,0.77,Demon
10.0,92.8,147,0.02244444444444444,7,inf,0.82,ER
12.5,57.25,171,0.026142857142857145,4,inf,0.83,Demon
10.0,70.4,147,0.01814285714285714,6,inf,0.76,ER
9.090909090909092,73.90082644628097,170,0.03201587301587302,5,inf,0.83,Demon
11.11111111111111,68.09876543209877,140,0.032,9,inf,0.8,ER
11.11111111111111,54.32098765432099,154,0.013976190476190475,5,inf,0.75,Demon
11.11111111111111,61.65432098765432,132,0.03576190476190476,10,inf,0.69,ER
12.5,100.75,132,0.03347619047619047,7,inf,0.55,Demon
14.285714285714286,66.48979591836735,134,0.01633333333333333,7,inf,0.72,ER
12.5,103.25,122,0.006,8,inf,0.74,Demon
11.11111111111111,48.98765432098765,161,0.039071428571428576,4,inf,0.75,ER
9.090909090909092,61.53719008264463,175,0.07076984126984127,6,inf,0.93,Demon
11.11111111111111,83.87654320987653,135,0.04466666666666666,8,inf,0.75,ER
12.5,78.25,141,0.05,8,inf,0.83,Demon
12.5,69.25,135,0.033,9,inf,0.74,ER
14.285714285714286,83.06122448979592,125,0.007666666666666666,8,inf,0.67,Demon
10.0,89.6,158,0.02623809523809524,2,inf,0.73,ER
10.0,104.8,153,0.009333333333333332,4,inf,0.92,Demon
10.0,73.6,144,0.02042857142857143,7,inf,0.82,ER
11.11111111111111,76.54320987654322,138,0.04221428571428572,11,inf,0.79,Demon
10.0,63.4,154,0.046150793650793644,7,inf,0.78,ER
12.5,56.25,148,0.028999999999999995,6,inf,0.85,Demon
11.11111111111111,90.98765432098764,148,0.019142857142857142,3,inf,0.82,ER
11.11111111111111,66.54320987654322,160,0.021,6,inf,0.81,Demon
12.5,77.0,144,0.014333333333333333,7,inf,0.82,ER
11.11111111111111,90.76543209876542,159,0.006,2,inf,0.84,Demon
10.0,58.8,147,0.016555555555555556,10,inf,0.67,ER
11.11111111111111,62.32098765432099,142,0.014690476190476191,10,inf,0.8,Demon
11.11111111111111,82.32098765432099,142,0.0033333333333333335,3,inf,0.87,ER
12.5,59.5,149,0.01823809523809524,5,inf,0.81,Demon
12.5,87.5,126,0.014476190476190476,7,inf,0.56,ER
11.11111111111111,100.09876543209876,136,0.032690476190476186,4,inf,0.25,Demon
11.11111111111111,82.32098765432099,140,0.0020238095238095236,6,inf,0.7,ER
8.333333333333334,67.88888888888889,158,0.03612554112554112,4,inf,0.84,Demon
10.0,94.6,156,0.021,1,9.0,0.95,ER
11.11111111111111,74.54320987654322,150,0.022452380952380953,6,inf,0.76,Demon
11.11111111111111,46.76543209876544,168,0.030380952380952383,5,inf,0.86,ER
