Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
11.11111111111111,70.76543209876543,134,0.049499999999999995,12,inf,0.74,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
9.090909090909092,44.082644628099175,173,0.03029365079365079,7,inf,0.86,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,110.32098765432099,147,0.061142857142857145,4,inf,0.66,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,70.2,127,0.03297619047619047,12,inf,0.76,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,54.987654320987644,152,0.018,6,inf,0.87,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,84.4,150,0.009944444444444443,2,inf,0.84,ER
1.4285714285714286,45.61632653061224,141,0.5834695043551609,33,inf,0.61,Demon
11.11111111111111,62.76543209876544,145,0.03935714285714286,7,inf,0.81,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,57.876543209876544,145,0.014666666666666668,6,inf,0.76,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,65.65432098765432,148,0.031190476190476196,8,inf,0.81,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,79.6,154,0.013563492063492062,3,inf,0.79,ER
1.2345679012345678,68.25361987501906,85,0.053349983349983345,22,inf,0.73,Demon
14.285714285714286,61.06122448979592,145,0.0026666666666666666,6,inf,0.83,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,75.0,151,0.015666666666666666,6,inf,0.74,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,68.8,157,0.03657936507936508,5,inf,0.89,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,67.25,149,0.008,4,inf,0.77,ER
2.380952380952381,116.28344671201813,40,0.0,61,inf,0.15,Demon
9.090909090909092,80.08264462809917,157,0.003,6,inf,0.87,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,58.76543209876544,136,0.007690476190476189,10,inf,0.82,ER
1.2048192771084338,80.01829002758016,81,0.0,20,inf,0.62,Demon
10.0,62.4,147,0.025420634920634923,9,inf,0.73,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,74.75,123,0.032809523809523816,10,inf,0.71,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,70.32098765432097,135,0.027523809523809527,8,inf,0.77,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,61.43209876543209,137,0.006166666666666666,11,inf,0.75,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,85.0,150,0.029952380952380953,3,inf,0.88,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,58.75,142,0.02666666666666668,6,inf,0.63,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
9.090909090909092,98.9917355371901,142,0.027444444444444445,3,inf,0.76,ER
1.0638297872340425,87.65550022634672,92,0.0,9,inf,0.89,Demon
12.5,64.25,166,0.01380952380952381,3,inf,0.8,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
9.090909090909092,78.62809917355372,142,0.009333333333333334,7,inf,0.82,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,67.87654320987654,159,0.05828571428571428,8,inf,0.83,ER
1.2987012987012987,43.92376454714117,102,0.2608370013849466,26,inf,0.45,Demon
14.285714285714286,64.20408163265306,130,0.02666666666666667,9,inf,0.71,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,71.43209876543209,134,0.011833333333333333,10,inf,0.01,ER
